time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,,,,
26.007293,-30.77184343,3.27533707,-57.85654448,-1.265634008,-1.434444949,9.59145367,-0.126351863,0.30726856,-2.739945114,,,,
26.015626,-30.79964924,3.255421609,-57.86999705,0.220125066,-1.061575741,8.679563642,-4.097845614,-1.611033201,-3.054686606,,,,
26.023959,-30.79746723,3.182268978,-57.8595333,0.357798889,-1.819623321,12.75436234,-0.733229906,-8.794856457,-3.476892889,,,,
26.032292,-30.77521277,3.122179031,-57.8529339,-1.304671873,-0.659604266,9.054333805,1.769537784,-6.969360323,-3.436966896,,,,
26.040625,-30.74473048,3.053556711,-57.84856795,-0.230896056,-0.515883267,9.53307712,2.747867361,-7.940344036,-3.799350381,,,,
26.048958,-30.68078804,2.945914984,-57.81180763,-0.075605396,-1.154136682,11.05349887,6.575546256,-13.74804115,-3.179537535,,,,
26.057291,-30.56070376,2.824031174,-57.77623368,-0.461967036,0.380682118,9.2788347,13.34366736,-15.36386073,-3.793953478,,,,
26.065624,-30.39454031,2.694753706,-57.71938898,-0.397224721,0.050514635,10.52808607,18.75321692,-17.18605638,-2.401921898,,,,
26.073957,-30.18198967,2.54671669,-57.66023825,-0.520071089,-0.084810685,9.641154527,24.33369082,-19.52887964,-2.787442476,,,,
26.08229,-29.89668036,2.378659144,-57.58320048,-0.11715439,0.868002355,9.799818278,33.00397706,-22.44282865,-2.50849849,,,,
26.090623,-29.53141785,2.1804149,-57.49961853,-0.864175119,0.734592766,10.16682815,42.5753727,-26.23858977,-3.028784603,,,,
26.098956,-29.09320545,2.02171211,-57.42279433,-1.649911039,0.41035704,10.59712172,51.39686727,-21.48034668,-1.807009708,,,,
26.107289,-28.57621908,1.815569825,-57.33395768,0.736571767,1.01619196,10.81678057,60.78530169,-27.42606783,-2.622228205,,,,
26.115622,-27.98029232,1.586457696,-57.22882273,-0.985070646,0.482169381,9.618203221,70.28577137,-30.58714247,-2.327608645,,,,
26.123955,-27.29543114,1.381029367,-57.14810753,-1.076608628,0.441037357,10.19571281,81.02336882,-26.99335432,-2.918960497,,,,
26.132288,-26.55041504,1.14756491,-57.0508709,-0.769363407,0.82002651,10.14975035,88.26331997,-30.69563961,-2.558203071,,,,
26.140621,-25.73450184,0.910214253,-56.95852468,-0.799290143,0.541017316,10.95909381,96.84910202,-31.07321835,-2.595156223,,,,
26.148954,-24.82459689,0.658525709,-56.86587145,-0.585924233,0.934183717,11.51498949,108.1297798,-32.48425102,-3.341143608,,,,
26.157287,-23.84802198,0.395699792,-56.77532195,-0.824730098,0.160357736,8.70004821,116.217741,-33.7955718,-3.054388046,,,,
26.16562,-22.81655502,0.116872884,-56.68268395,-0.44571388,0.116203779,11.43287611,122.8704529,-35.52902937,-3.418745756,,,,
26.173953,-21.70506001,-0.167386547,-56.58576393,-1.432756849,0.796925858,11.13200247,132.4867039,-36.46757412,-2.472345054,,,,
26.182286,-20.50970555,-0.425124735,-56.50605773,-1.572262213,0.986175478,9.897932529,142.6211453,-32.72522497,-2.707683012,,,,
26.190619,-19.24567628,-0.713736251,-56.41633225,-0.194291812,0.321774809,11.77331162,150.891531,-36.69991684,-2.171466276,,,,
26.198952,-17.92083311,-0.996607661,-56.33821868,-1.450979114,0.499635637,10.60718858,158.2248383,-35.59269953,-2.609779865,,,,
