time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
58600,32.825671492126,34.9559369117911,10.0942341,-1.2731218871309264,-2.121123865795049,0.10000063123471392,-0.9,-1.7,0.0,1.2,-8.2,248.3
58700,32.8256705769177,34.9559350417279,10.0942341,-1.3746198467527375,-2.296230461736348,0.10000072526272064,-0.9,-1.8,0.0,2.1,-8.8,250.1
58800,32.825669752044,34.9559330513702,10.1942341,-1.4660995804203707,-2.4826010848272912,8.282559376127097e-07,-0.9,-1.8,0.0,2.0,-8.7,251.3
58900,32.8256689748512,34.9559311252836,10.1942341,-1.5522914030710007,-2.662953533457745,9.331954879954196e-07,-0.9,-1.9,0.0,1.9,-8.5,252.0
59000,32.8256681594095,34.9559290727806,10.1942341,-1.6427250802143134,-2.855143203086061,1.0513525801059131e-06,-0.9,-1.9,0.1,1.3,-8.6,252.6
59100,32.8256672049117,34.9559270824433,10.1942341,-1.74858029094406,-3.0415118892550312,1.1795731129637943e-06,-0.9,-2.0,0.0,1.1,-8.5,252.8
59200,32.8256662946929,34.955924845255,10.1942341,-1.8495248820055539,-3.2509948954980765,1.324796498280989e-06,-0.9,-2.0,0.0,1.3,-8.0,252.8
59300,32.8256654338209,34.9559226778074,10.1942341,-1.9449968327813387,-3.453947613288685,1.4740847644745259e-06,-0.9,-2.1,0.0,1.7,-7.8,252.8
59400,32.825664536843,34.9559203665891,10.2942341,-2.0444730103359072,-3.670362617387879,-0.09999835910127608,-0.9,-2.1,0.1,1.2,-7.3,252.8
59500,32.8256637204959,34.9559181414512,10.2942341,-2.135007071627563,-3.8787172745086376,-0.09999819057513282,-0.9,-2.2,0.1,1.3,-8.1,252.8
59600,32.8256628945996,34.9559158507296,10.2942341,-2.2266001478955495,-4.093212978935398,-0.0999980106259244,-0.9,-2.2,0.1,1.1,-8.4,252.8
59700,32.8256621234516,34.9559135583718,10.2942341,-2.3121215503633357,-4.307861893907143,-0.09999782599051876,-0.9,-2.2,0.0,0.9,-7.1,252.8
59800,32.8256612890043,34.9559111063267,10.2942341,-2.4046629281979124,-4.537463410714712,-0.09999761713103528,-0.9,-2.3,0.1,0.2,-7.6,252.7
59900,32.8256604950336,34.955908763494,10.2942341,-2.4927153888692093,-4.756838638505296,-0.0999974071487717,-0.9,-2.3,0.1,-0.3,-8.2,252.8
60000,32.825659658554,34.9559063608022,10.3942341,-2.585482187377157,-4.981818966539417,-0.19999718409848022,-0.9,-2.3,0.1,1.2,-7.6,252.8
60100,32.825658841225,34.955903941661,10.3942341,-2.676125108298182,-5.208339485424153,-0.19999695205617485,-0.9,-2.3,0.1,-0.1,-7.2,252.7
60200,32.8256579624059,34.9559012999708,10.3942341,-2.773587358301604,-5.455698773333813,-0.19999668672903947,-1.0,-2.4,0.1,-0.4,-8.1,252.8
