time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
6.383078,-4.556815744,5.907353997,-65.24247933,-0.786553578,-0.956508822,1.756520629,12.95250082,-30.64514208,0.011688292
6.391411,-4.45315218,5.636163473,-65.24851035,0.047252655,-0.19296103,3.042706013,11.72439981,-32.80056477,-3.678862095
6.399744,-4.371219099,5.404227614,-65.22546198,-1.787984733,-1.266017079,2.446845353,8.904617309,-28.42428827,0.224818885
6.408077,-4.297946334,5.164167226,-65.2375374,0.343497522,-0.87569195,2.973663926,8.154462099,-29.04118013,-4.012813092
6.41641,-4.246588051,4.956547082,-65.2099209,-1.710086877,-0.171247453,2.830358088,5.192591965,-25.54496574,1.065677643
6.424743,-4.214479804,4.751731455,-65.2223263,0.626978111,-1.624059483,3.133554995,3.218356967,-24.83383894,-3.681945205
6.433076,-4.196334064,4.578175962,-65.19587135,-2.54305315,-0.544865594,2.640300959,1.216801569,-21.44602966,1.265241564
6.441409,-4.200386882,4.408039809,-65.2053318,1.800183442,-0.174305491,2.377561152,-1.130567959,-20.72516155,-3.000209451
6.449742,-4.210852862,4.266084194,-65.18139648,-3.19553873,-1.325632084,2.271278441,-2.199443817,-17.63129616,1.2303195
6.458075,-4.239335716,4.137803197,-65.18069078,1.605890006,-0.276363604,2.265420526,-4.132239819,-15.8143692,-1.418945684
6.466408,-4.263315559,4.029792547,-65.15607455,-2.57004855,0.149539511,2.858296156,-3.843740046,-13.56810975,1.612029367
6.474741,-4.307683528,3.943403363,-65.14268688,0.466316596,-0.732791811,3.081307471,-6.118520975,-10.92394447,0.470591545
6.483074,-4.355433404,3.87918365,-65.12130548,-2.045019165,-1.294809312,2.301133782,-6.669281662,-8.299916267,1.611724962
6.491407,-4.411552966,3.844023347,-65.10831835,-0.092011824,1.389712021,3.217434049,-7.515876889,-4.788972676,0.845439732
6.49974,-4.478759766,3.829032958,-65.09441758,-1.230466232,-1.869684778,2.277156443,-8.965223668,-2.342044715,1.167699039
6.508073,-4.545184851,3.847815931,-65.0761299,-1.151519329,-0.423555285,2.633448661,-8.769782663,1.606857777,1.980844855
6.516406,-4.636764049,3.895270407,-65.08430863,-1.422328562,0.171216414,1.933747038,-11.7372644,5.341997236,-0.881520629
6.524739,-4.731318593,3.975271762,-65.06754685,-0.687247157,-0.825004749,3.038774342,-12.11578822,8.928447843,2.404719293
6.533072,-4.825130224,4.082009614,-65.0843792,-1.233896725,-0.855920549,3.649649382,-11.94464517,12.52334738,-1.293558002
6.541405,-4.940988422,4.223886728,-65.07625773,-2.068051159,0.433201164,3.971961677,-14.60212874,16.4072926,2.013917208
6.549738,-5.069815636,4.381830812,-65.09565925,0.806116939,-1.64805633,3.252396047,-16.10607028,18.66661167,-1.017196655
6.558071,-5.189379215,4.567280889,-65.08197595,-2.827485264,0.543807555,4.872282982,-15.11798835,21.55479288,3.202668637
6.566404,-5.310098291,4.748633385,-65.09412765,1.76845336,-0.623533782,4.347815633,-15.17980862,21.37849665,0.185892463
6.574737,-5.411814332,4.952280819,-65.07262418,-2.657974303,-0.005172346,6.290123105,-13.08414221,23.6318233,4.455869019
6.58307,-5.514366508,5.13482976,-65.07880975,2.858301521,0.791530028,6.918472052,-13.02133942,21.44070578,0.992223129
6.591403,-5.609165907,5.330120683,-65.06447413,-2.992835522,0.342549064,6.767845035,-12.23014903,22.71919251,3.545897305
6.599736,-5.659064293,5.426467061,-65.06518175,3.64685677,0.382284766,6.87360859,-6.717785299,11.06463063,0.680836029
