,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0.283322,-7.703835726,22.72082997,-56.70052338,-2.52158907,-1.330956884,6.832159996,18.44212532,-33.76990891,1.044924557
0.291655,-7.506023645,22.4552784,-56.6588459,0.740462184,-0.242426925,5.164778709,21.10446787,-32.65189076,-0.035741001
0.299988,-7.34579742,22.20560027,-56.61068728,-3.404153645,-0.78485883,8.691860318,16.25373817,-30.80125046,1.007857323
0.308321,-7.172558427,21.95705175,-56.5742569,0.462527007,-1.520651877,5.821894646,18.39451695,-30.52315951,-0.15813613
0.316654,-7.026668668,21.72947407,-56.5318508,-4.182964921,-0.524898358,7.517255455,14.81228304,-28.08633566,0.935839474
0.324987,-6.922366619,21.50352716,-56.50402643,0.842395246,-1.568071663,6.023149908,10.54602909,-27.71427584,-0.614306629
0.33332,-6.83046186,21.36037636,-56.47395898,-5.037017226,-0.81640688,8.021228612,8.87579608,-17.82445335,0.893043876
0.341653,-6.750402093,21.12509013,-56.44709015,1.845998019,-1.079240538,6.815700412,7.726918459,-28.84834624,-0.750923276
0.349986,-6.698374272,21.05899,-56.42235375,-6.185074568,-1.143639833,10.3801105,4.354340017,-8.59754324,1.446256727
0.358319,-6.700099349,20.89915943,-56.40164758,2.185186029,-1.155961849,5.601763009,-1.797691427,-19.7452178,-0.32378944
0.366652,-6.69523561,20.85546827,-56.377388,-6.43316859,-1.024046376,10.39164062,-1.306736022,-5.913562833,1.70057419
0.374985,-6.733591318,20.80542326,-56.35422898,2.431798619,-1.551037684,6.080569397,-6.272708893,-6.698347577,1.496143461
0.383318,-6.791864633,20.74825907,-56.3295784,-5.77498734,-1.027180746,7.750875532,-8.957059504,-7.48774758,1.546104789
0.391651,-6.836273432,20.74340963,-56.29673195,2.002242774,-0.197291105,6.986741543,-7.344281196,-1.482129574,3.229344223
0.399984,-6.863097429,20.66654539,-56.27467348,-4.320038244,-0.821222557,13.35469747,-5.091444254,-9.841074586,1.013921142
0.408317,-6.918116093,20.72736264,-56.23862268,0.113625229,0.123588324,10.87312779,-8.762465238,6.328310846,4.53260693
0.41665,-6.987329126,20.59708309,-56.20370293,-0.353177607,-0.786029206,9.900252939,-10.69538176,-16.36757231,1.598315358
0.424983,-6.99046576,20.6223464,-56.15205383,-2.485954169,0.274889226,11.5724355,-3.220388606,1.872228146,5.759102344
0.433316,-7.012977719,20.52779627,-56.11501888,-0.117175076,-0.693669945,12.4986186,-5.189246416,-12.10756317,2.377001406
0.441649,-7.030421734,20.50733852,-56.05573273,-3.106472969,-0.524519384,10.51709962,-5.217696905,-3.715152889,5.951605796
0.449982,-6.986041904,20.37518645,-56.01571465,0.841162894,0.287002496,12.2623384,2.7467376,-16.66023135,2.168243111
0.458315,-6.935575247,20.30478573,-55.95433045,-3.112447441,-0.055638723,14.92369104,2.808572531,-9.644606591,5.447966456
0.466648,-6.900772572,20.14611673,-55.92656328,-0.146991182,-0.259002045,14.19124007,2.158298423,-19.64943695,0.504406512
0.474981,-6.820936084,20.06619597,-55.89731028,-3.515588045,-0.174861932,11.26782751,7.658625364,-10.33396232,1.732313454
0.483314,-6.719631791,19.86715984,-55.88956453,0.370889261,0.201962225,16.22008896,10.94535112,-24.14069224,-2.269691229
0.491647,-6.580254913,19.78170061,-55.8822212,-5.588208795,-0.101728574,15.06321263,15.71991491,-10.74395656,-0.755602613
0.49998,-6.447383404,19.6506691,-55.90071295,0.65038719,0.451199867,14.35606432,15.8610096,-15.73863793,-4.172022939
0.508313,-6.269956947,19.48204327,-55.88781355,-3.0588018,-0.912881933,16.22672534,20.01084065,-20.68905449,-1.204692632
0.516646,-6.064501882,19.39173842,-55.88445285,-2.002517581,0.081197005,16.44731832,23.70202827,-11.16762471,-1.048333958
0.524979,-5.860087872,19.22519923,-55.85848045,-2.526612282,-0.834135294,11.11033523,22.73657513,-20.59366036,0.437062547
0.533312,-5.616074681,19.07550717,-55.82455825,-0.522965398,-0.938160315,14.05552435,27.10675097,-18.5615921,1.750559449
0.541645,-5.328712106,18.88426304,-55.78682708,-1.713435017,-1.570212797,17.78088045,32.26793862,-23.70986366,1.661481939
0.549978,-5.082948566,18.70477105,-55.75185205,-2.836713284,0.360946618,19.94814634,27.32502938,-22.14979029,1.738466144
0.558311,-4.843113661,18.51672745,-55.71928025,-1.893220425,-1.220338524,15.69845295,26.745996,-23.21046448,1.317437232
0.566644,-4.616266847,18.2937584,-55.68051718,-1.342216,-1.572631821,16.04957199,24.96063471,-27.36485577,1.938973218
0.574977,-4.406825662,18.07499313,-55.65265655,-1.602341339,-2.433651567,15.4266938,23.30358744,-26.82551718,0.681870938
0.58331,-4.261915445,17.79358292,-55.60401728,-1.986684673,-3.057108149,13.13194466,14.76244331,-34.37325764,2.694768168
0.591643,-4.098954678,17.57046938,-55.57477568,-3.424628258,-0.995536834,16.38644886,17.7427063,-27.39925575,0.973645896
0.599976,-3.993106604,17.29340268,-55.5326328,-2.622462817,-1.191299238,17.36919427,10.39507318,-33.82947445,2.16577239
0.608309,-3.938932061,17.07793451,-55.51067353,-1.88711413,-3.842197657,14.31500816,4.970730603,-26.37771321,0.318478063
0.616642,-3.906335592,16.8307302,-55.47387693,-4.165426344,-1.025905684,14.92710281,1.801479221,-30.19850254,1.870541692
0.624975,-3.882555366,16.64551878,-55.45741655,-1.778356552,-3.004820664,16.38250184,1.549204037,-22.71647167,-0.020241767
0.633308,-3.881837964,16.43577719,-55.41983985,-3.619512945,-1.165881097,16.69247175,-2.017384798,-25.67212725,2.277247667
0.641641,-3.936801791,16.2650156,-55.39817813,-1.711537339,-0.357601598,16.43818688,-8.045915246,-21.07255244,0.697318722
0.649974,-4.030685961,16.10435033,-55.35592463,-4.037210643,-2.846606672,15.226336,-13.50335789,-19.88172817,3.18684803
0.658307,-4.12190789,16.00317168,-55.3256569,-3.35967657,-2.344587401,17.1625936,-12.66419697,-12.77419686,2.226437956
0.66664,-4.237866581,15.92058182,-55.30159378,-3.49636215,-0.508034784,16.0846889,-15.53754163,-10.39789689,1.7251928
