time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
201100,32.8255273963554,34.9554777364539,12.3942341,-12.651666530724363,-31.55476526965954,0.1001688785848609,-2.2,-5.8,0.0,-2.7,-19.2,248.4
201200,32.8255254283483,34.9554717864818,12.3942341,-12.869919037939091,-32.11190320792173,0.10017347297922363,-2.3,-5.8,0.0,-2.9,-18.9,248.5
201300,32.8255233221188,34.9554654514698,12.3942341,-13.103500425825821,-32.70509518502756,0.10017843197455445,-2.3,-5.8,0.0,-3.3,-19.0,248.4
201400,32.8255213694842,34.9554596071573,12.3942341,-13.320048080442948,-33.25233952790372,0.10018306437608171,-2.3,-5.8,0.0,-3.5,-19.1,248.4
201500,32.8255192355321,34.9554532142792,12.3942341,-13.556703854008056,-33.85094997641086,0.10018819334124451,-2.3,-5.8,0.0,-3.3,-19.3,248.4
201600,32.8255172097087,34.9554471053894,12.3942341,-13.781368077488274,-34.422968609242716,0.1001931513112071,-2.3,-5.9,0.0,-3.0,-19.0,248.5
201700,32.8255150807982,34.9554406466116,12.3942341,-14.017464627407566,-35.02774975538434,0.10019845343376144,-2.3,-5.9,0.0,-3.0,-18.9,248.5
201800,32.8255130252981,34.9554343443863,12.3942341,-14.245419885073723,-35.617871797152524,0.10020368371564725,-2.3,-5.9,0.0,-3.3,-19.0,248.4
201900,32.8255108901605,34.9554278916439,12.3942341,-14.482206960674922,-36.22208786695125,0.10020911315806291,-2.3,-5.9,0.0,-3.5,-19.0,248.4
202000,32.8255088091914,34.9554216618021,12.3942341,-14.712986733848318,-36.805432210936175,0.1002144249798107,-2.3,-5.9,0.0,-3.2,-19.0,248.4
202100,32.8255065692602,34.9554150218411,12.3942341,-14.961395419888216,-37.42717897083854,0.10022016216932528,-2.4,-5.9,0.0,-3.1,-18.7,248.4
202200,32.8255042628103,34.9554084251471,12.3942341,-15.217181118067057,-38.04487441298175,0.10022595888065755,-2.4,-5.9,0.0,-3.1,-18.8,248.4
202300,32.8255020325324,34.9554018555306,12.3942341,-15.46451919440404,-38.660034386800604,0.10023177881933609,-2.4,-5.9,-0.1,-3.0,-18.6,248.3
202400,32.8254999555759,34.9553957539404,12.3942341,-15.694853885113545,-39.23136975746464,0.10023724829228264,-2.4,-5.9,-0.1,-3.1,-18.7,248.2
202500,32.8254978467149,34.9553895620643,12.3942341,-15.92872675497724,-39.81115926865159,0.10024285846972703,-2.4,-6.0,-0.1,-2.9,-18.7,248.3
202600,32.8254957958655,34.9553835992875,12.4942341,-16.15616645953479,-40.36949746607506,0.0002483275641811389,-2.4,-6.0,-0.1,-2.5,-18.7,248.2
202700,32.8254936362622,34.9553777457181,12.4942341,-16.39566684422682,-40.91760906855767,0.0002538050686364812,-2.4,-6.0,0.0,-2.4,-18.2,248.3
202800,32.8254915220468,34.9553715931127,12.4942341,-16.630133449758436,-41.49372148409268,0.00025956529261694783,-2.4,-6.0,0.0,-2.6,-18.4,248.3
202900,32.8254893387985,34.955365061095,12.4942341,-16.872255680920645,-42.10536097728068,0.0002657228752545038,-2.4,-6.0,0.0,-2.8,-18.7,248.3
203000,32.8254872117901,34.9553587387246,12.4942341,-17.108140891455268,-42.69736973213137,0.0002717535467731125,-2.4,-6.0,0.0,-2.6,-18.8,248.2
203100,32.8254847723809,34.9553514010672,12.4942341,-17.378671257680686,-43.38444708647903,0.00027881959758513375,-2.4,-6.0,0.0,-2.5,-18.6,248.3
203200,32.8254825866574,34.9553449758509,12.4942341,-17.621067931331336,-43.986086115836635,0.0002850984709859006,-2.4,-6.0,0.0,-2.7,-18.6,248.3
203300,32.8254803018853,34.9553382624053,12.4942341,-17.874449054952446,-44.61471415203683,0.00029172968650570397,-2.4,-6.0,0.0,-2.8,-18.7,248.3
203400,32.8254781554789,34.9553319138136,12.4942341,-18.112485370169395,-45.20917832219065,0.0002980597729367318,-2.4,-6.0,-0.1,-2.7,-18.4,248.3
203500,32.8254759274678,34.9553251615459,12.4942341,-18.359571509519302,-45.84144156545696,0.00030484249546613995,-2.4,-6.0,0.0,-2.7,-18.7,248.3
203600,32.8254738141123,34.9553189096017,12.4942341,-18.59394240800043,-46.42685599415027,0.00031120674792006753,-2.4,-6.0,0.0,-3.0,-18.8,248.4
203700,32.8254715738684,34.9553123665327,12.4942341,-18.842385227823712,-47.03953057773282,0.000317945390597707,-2.4,-6.0,0.0,-3.0,-19.0,248.4
203800,32.8254694380013,34.9553061268631,12.4942341,-19.079252633664566,-47.623795723177565,0.0003244370492589965,-2.4,-6.0,0.0,-2.7,-18.8,248.3
203900,32.8254671510145,34.9552996131553,12.4942341,-19.332879257305354,-48.23372110593518,0.0003313012624479583,-2.4,-6.0,0.0,-2.8,-19.2,248.3
204000,32.8254650079822,34.9552933162313,12.4942341,-19.57054119207506,-48.82334744093132,0.0003379740822513355,-2.4,-6.1,0.0,-2.7,-18.9,248.4
204100,32.8254627516623,34.9552866745167,12.4942341,-19.820766656710333,-49.44525903161004,0.00034508156529611256,-2.4,-6.1,0.0,-2.9,-19.1,248.3
204200,32.8254605790054,34.9552802655715,12.4942341,-20.06171386591334,-50.04537477196308,0.00035200173593175066,-2.4,-6.1,0.0,-2.8,-18.6,248.3
204300,32.8254582741969,34.9552734488721,12.4942341,-20.31731660994494,-50.68367150546336,0.000359433715897417,-2.4,-6.1,0.0,-3.0,-18.7,248.3
204400,32.8254560075071,34.9552668155173,12.4942341,-20.568692000496366,-51.304800411063844,0.000366747457151817,-2.4,-6.0,0.0,-3.0,-18.9,248.4
204500,32.825453809238,34.9552602987103,12.4942341,-20.812479463002113,-51.915016114358075,0.00037398700196344947,-2.4,-6.0,0.0,-3.1,-19.0,248.4
204600,32.8254517161273,34.9552540652392,12.4942341,-21.044604833153738,-52.49870105114733,0.0003809711230537971,-2.4,-6.1,0.0,-3.0,-18.8,248.4
204700,32.8254495014174,34.9552474501537,12.4942341,-21.29021546786756,-53.11811932788317,0.0003884472329120925,-2.4,-6.1,0.0,-3.3,-19.3,248.4
204800,32.8254474854037,34.9552413276028,12.4942341,-21.513790660068576,-53.69141803008521,0.0003954140732300715,-2.4,-6.1,0.0,-3.5,-19.2,248.5
204900,32.8254452525595,34.9552345028291,12.4942341,-21.761412208235306,-54.33047094914138,0.00040324412988290703,-2.4,-6.1,0.0,-3.4,-19.3,248.5
205000,32.8254430981932,34.9552280392801,12.4942341,-22.000330628115456,-54.93569984781379,0.0004107453632649083,-2.4,-6.1,0.0,-3.5,-19.2,248.5
205100,32.8254407947136,34.955221293537,12.4942341,-22.255785725193203,-55.56735269804671,0.0004186695121681794,-2.4,-6.1,0.0,-3.4,-19.1,248.5
205200,32.8254385368825,34.955214620463,12.4942341,-22.50617833846265,-56.19220102781525,0.00042657217872932307,-2.4,-6.1,0.0,-3.7,-19.1,248.5
205300,32.8254363143561,34.9552079368679,12.4942341,-22.752655560795628,-56.8180345266945,0.00043453803476811714,-2.4,-6.1,0.0,-3.6,-19.3,248.5
205400,32.8254342199426,34.955201669142,12.4942341,-22.984925099634296,-57.404927210965674,0.00044207783162342196,-2.4,-6.0,0.0,-3.4,-19.3,248.5
205500,32.8254320368375,34.9551951941748,12.4942341,-23.227030501310395,-58.01122544746975,0.00044994243724705285,-2.4,-6.1,0.0,-3.6,-19.3,248.6
205600,32.8254299910429,34.9551888424431,12.4942341,-23.4539079994318,-58.60598419976652,0.00045767401176988187,-2.4,-6.1,0.0,-3.7,-19.7,248.5
205700,32.8254277525186,34.9551819868402,12.4942341,-23.70215914106958,-59.247924126044985,0.0004661073989531417,-2.4,-6.1,0.0,-3.6,-19.6,248.5
205800,32.825425642446,34.9551755820952,12.4942341,-23.936165059389378,-59.8476469948694,0.000474061181396479,-2.4,-6.1,0.0,-3.4,-19.7,248.6
205900,32.8254234379758,34.9551690069735,12.4942341,-24.180639664328407,-60.463323534859775,0.00048231313413626964,-2.4,-6.1,-0.1,-3.7,-19.5,248.6
206000,32.8254213431194,34.9551627807612,12.4942341,-24.41295813487951,-61.04632918073681,0.0004901954588936164,-2.4,-6.1,-0.1,-3.9,-19.5,248.6
206100,32.825419199123,34.9551567136704,12.4942341,-24.65072638812273,-61.61443523389898,0.0004979872908652538,-2.4,-6.1,0.0,-3.8,-19.5,248.5
206200,32.8254170625003,34.9551503944808,12.4942341,-24.887676672984494,-62.20614708651349,0.0005061180114838137,-2.4,-6.1,0.0,-4.0,-19.8,248.5
206300,32.825414750683,34.9551435541293,12.4942341,-25.144055898930578,-62.84665916298017,0.0005149898783116669,-2.4,-6.2,0.0,-3.9,-19.7,248.4
206400,32.8254125930859,34.9551371256507,12.4942341,-25.383332124075718,-63.448604589208365,0.00052338731153867,-2.4,-6.1,0.0,-3.4,-19.9,248.5
206500,32.8254102766048,34.9551302488423,12.4942341,-25.640228466011912,-64.0925304499685,0.0005324474027519344,-2.4,-6.1,0.0,-3.4,-19.4,248.6
206600,32.8254081485542,34.9551238200375,12.4942341,-25.876227859836487,-64.69450645464632,0.0005409657603596685,-2.4,-6.1,0.0,-4.1,-19.8,248.6
206700,32.825405871286,34.9551169013894,12.4942341,-26.128775318478255,-65.34235009074119,0.0005501983386597686,-2.4,-6.2,0.0,-4.2,-19.8,248.7
206800,32.8254037079828,34.9551103486964,12.4942341,-26.36868411241129,-65.95592670867516,0.0005590176764336263,-2.4,-6.2,0.0,-4.0,-19.6,248.7
206900,32.8254013332425,34.9551031157201,12.4942341,-26.632041055739556,-66.63320325590126,0.0005688225853832662,-2.4,-6.2,0.0,-4.1,-19.8,248.7
207000,32.8253992047229,34.9550966212602,12.4942341,-26.86809225909301,-67.24132713026414,0.0005776961380181689,-2.4,-6.2,0.0,-4.2,-19.8,248.7
207100,32.8253970048904,34.9550897985255,12.4942341,-27.11205188265295,-67.88018977940534,0.0005870689432416754,-2.4,-6.2,0.0,-4.2,-19.6,248.6
207200,32.8253948972149,34.9550833265759,12.4942341,-27.345791382126794,-68.48620589610803,0.0005960376458089556,-2.4,-6.2,0.0,-4.2,-19.7,248.6
207300,32.8253927111917,34.9550766477112,12.4942341,-27.58821956577911,-69.11159703166216,0.0006053725977812618,-2.4,-6.2,0.0,-4.3,-19.4,248.7
207400,32.8253905939018,34.9550702421507,12.4942341,-27.823025293075222,-69.71139673770571,0.0006144015436646555,-2.4,-6.2,0.0,-4.6,-19.5,248.7
207500,32.8253883950595,34.9550635588818,12.4942341,-28.066875054682644,-70.33720034156919,0.0006238867372152512,-2.4,-6.2,0.0,-4.6,-19.6,248.7
207600,32.8253862851432,34.9550570802444,12.4942341,-28.30086290577839,-70.94384280333487,0.0006331340098961746,-2.4,-6.3,0.0,-4.5,-19.3,248.7
207700,32.8253840432058,34.9550500948811,12.4942341,-28.549491657771863,-71.59793373698625,0.0006431612081394533,-2.4,-6.3,0.0,-4.6,-19.2,248.7
207800,32.8253819031698,34.9550433324184,12.4942341,-28.786819523580757,-72.2311528510224,0.0006529235969150449,-2.4,-6.3,0.0,-4.8,-19.1,248.8
207900,32.8253795734006,34.9550362463298,12.4942341,-29.045188791895082,-72.89467555537986,0.0006632812287765688,-2.5,-6.3,0.0,-5.2,-19.1,248.7
208000,32.8253773890709,34.9550296352406,12.4942341,-29.287428940181098,-73.51372060657496,0.0006730225997140238,-2.5,-6.3,0.0,-4.9,-19.5,248.7
208100,32.8253751367635,34.9550228386863,12.4942341,-29.53720772999012,-74.15013216206158,0.0006831135178044789,-2.5,-6.3,0.0,-4.3,-19.1,248.7
208200,32.825372883935,34.9550162596498,12.4942341,-29.787044449089198,-74.76617602160447,0.0006929955929821929,-2.5,-6.3,0.0,-4.3,-18.9,248.7
208300,32.8253706097934,34.9550094034759,12.4942341,-30.039244554400685,-75.40817026722392,0.000703323721510607,-2.5,-6.3,0.0,-4.6,-18.9,248.7
208400,32.8253684311959,34.955002870928,12.4942341,-30.28084890153823,-76.01986105923464,0.0007132385376484862,-2.4,-6.3,0.0,-4.6,-18.9,248.6
208500,32.8253661159133,34.9549959846588,12.4942341,-30.537611501242065,-76.66467344551467,0.000723777637608336,-2.5,-6.3,0.0,-4.6,-18.8,248.6
208600,32.8253638949502,34.9549894381644,12.4942341,-30.7839141707728,-77.2776702526619,0.000733877929027571,-2.5,-6.3,0.0,-4.7,-18.8,248.6
208700,32.8253616180728,34.9549824767794,12.4942341,-31.036417425064823,-77.92951628710973,0.0007446398586052894,-2.5,-6.3,0.0,-4.7,-18.7,248.6
208800,32.8253594099028,34.9549757648018,12.4942341,-31.281301096134708,-78.55800850623892,0.0007550968092910892,-2.5,-6.3,0.0,-4.8,-18.7,248.6
208900,32.8253570487893,34.9549686403804,12.4942341,-31.543146038213646,-79.22512094700123,0.0007662858500809833,-2.5,-6.3,0.0,-5.0,-18.8,248.6
