SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
504906574,-5.610282898,6.990163803,-176.7214813,0.027309315,-1.162629724,8.039756775,-2.883881092,1.624903202,-3.132057667,0.029541016,-0.529785156,-0.544921875, 
504914907,-5.586686611,7.066635132,-176.7478027,-2.660363436,-0.081700698,10.30520058,1.4282372,9.101904869,-2.416831732,0.036376953,-0.528320313,-0.549316406, 
504923240,-5.596813202,7.135038376,-176.7687836,-0.451288611,0.254767507,17.46853065,-2.698255062,8.060480118,-1.886411667,0.032470703,-0.533203125,-0.551269531, 
504931573,-5.619586945,7.254743576,-176.8074341,-2.896391392,-1.021754026,7.707547665,-3.941032887,14.40769005,-3.370219231,0.032470703,-0.529296875,-0.546875, 
504939906,-5.632571697,7.291337013,-176.82164,0.190466493,-1.234464407,7.747674942,-3.138870955,4.185122967,-1.447896004,0.036376953,-0.528808594,-0.549804688, 
504948239,-5.599847317,7.342108727,-176.8586884,-1.479101181,-0.679672956,8.835837364,2.703800678,6.157240868,-3.987061024,0.035888672,-0.533203125,-0.546630859, 
504956572,-5.549791336,7.390214443,-176.8611603,-2.234146357,0.341261953,15.41230392,4.249542236,5.42264843,0.070733704,0.038330078,-0.530029297,-0.544189453, 
504964905,-5.54049921,7.507114887,-176.8982239,0.246009782,-0.092353664,9.775691986,-0.098281831,14.05239296,-3.227931976,0.035888672,-0.534667969,-0.550292969, 
504973238,-5.52593565,7.501598358,-176.9186096,-1.223734856,-0.804475844,8.353715897,0.270960212,-0.776802897,-2.672589779,0.038330078,-0.530517578,-0.547119141, 
504981571,-5.491344929,7.538089752,-176.9383545,-0.167573631,-1.936641335,10.42963314,2.671039343,4.248696804,-2.113302469,0.039794922,-0.532958984,-0.551513672, 
504989904,-5.45128727,7.49951458,-176.9382019,-1.280119538,1.1359303,14.73012161,3.004306793,-4.961042404,-0.615715027,0.037841797,-0.534912109,-0.547119141, 
504998237,-5.430017471,7.543079853,-176.9594727,-1.194966555,-0.505141735,10.34473419,1.097275376,5.107747078,-2.219985723,0.039794922,-0.530029297,-0.551513672, 
505006570,-5.425285339,7.464914322,-176.9547424,-1.596246362,-1.984304547,6.973612785,-1.303021908,-9.740581512,-0.522274256,0.040283203,-0.534912109,-0.547119141, 
505014903,-5.404426575,7.429265022,-176.9755554,0.997532487,-1.092602611,11.37825394,1.036620975,-4.362898827,-3.064871311,0.040283203,-0.533935547,-0.547119141, 
505023236,-5.385064602,7.312294006,-176.9761047,-2.692109585,-0.125933841,14.83462811,0.537911773,-14.31758976,-1.579271436,0.037353516,-0.533935547,-0.545654297, 
505031569,-5.375136375,7.338514328,-176.984314,-0.555799544,-0.106330544,8.349933624,-0.472813189,2.886634827,-0.872523248,0.038818359,-0.531982422,-0.551513672, 
505039902,-5.383160591,7.160531998,-177.0040436,-1.380242944,-0.756262958,12.09248352,-2.46035099,-21.39145851,-4.537717819,0.033935547,-0.533203125,-0.543701172, 
