SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
467774726,-4.353943348,4.171785831,-144.8970795,-1.59263885,-1.452681065,10.86901855,10.75179482,-10.42107582,-3.885552406,-0.499023438,-0.453613281,-1.072753906, 
467783059,-4.283309937,4.137010574,-144.9088593,-1.246807575,-0.962516129,14.3254385,7.800700188,-4.470914364,-2.206282139,-0.497070313,-0.452148438,-1.066894531, 
467791392,-4.210127354,4.104684353,-144.9434814,-0.106131032,0.014266993,6.392520428,8.313242912,-3.993209124,-4.849723339,-0.501464844,-0.458496094,-1.063964844, 
467799725,-4.14020443,4.036246777,-144.9615021,-1.619669795,-0.37422508,10.75477791,7.766225815,-8.4480896,-3.234745741,-0.499511719,-0.452636719,-1.068359375, 
467808058,-4.056049824,4.035535812,-144.9869232,-1.606909633,-0.932630181,9.1195755,9.548283577,-0.299071848,-3.478234291,-0.497558594,-0.453613281,-1.0703125, 
467816391,-3.97913456,3.972298145,-145.0017395,1.077428222,0.065798335,8.781898499,8.575276375,-7.860163689,-2.785932541,-0.502441406,-0.457519531,-1.063476563, 
467824724,-3.918005228,3.961736917,-145.0354004,-1.992862821,-0.643197298,12.03072929,6.848464966,-1.418106318,-4.541556835,-0.504394531,-0.456542969,-1.062988281, 
467833057,-3.838359356,3.910296917,-145.0486755,0.293199599,-0.857164085,5.314230919,8.889484406,-6.466186047,-2.490702629,-0.498046875,-0.458007813,-1.065917969, 
467841390,-3.762613297,3.885050058,-145.0584869,-1.447738051,0.16359669,13.64805794,8.402328491,-3.376597166,-1.805470824,-0.500488281,-0.459472656,-1.064941406, 
467849723,-3.684617281,3.878682137,-145.0719452,-0.564253092,-0.625283182,7.233654499,8.690103531,-1.072288752,-2.142605066,-0.502929688,-0.457519531,-1.053222656, 
467858056,-3.600237608,3.835197687,-145.0766754,-1.651269913,-1.240917683,12.43672276,9.39867115,-5.601705551,-1.349665403,-0.497558594,-0.464355469,-1.062988281, 
467866389,-3.531186581,3.904823065,-145.0859833,-1.224774599,0.019548383,10.55857944,7.584541798,7.993550777,-1.078948617,-0.504882813,-0.463867188,-1.057617188, 
467874722,-3.46711421,3.838500261,-145.0997467,0.23881425,-0.862624824,5.480270386,7.033606529,-8.27460289,-2.579251051,-0.499023438,-0.46484375,-1.055664063, 
467883055,-3.385124683,3.889377356,-145.1064758,-2.401982784,-0.798433304,13.446558,9.115300179,5.727766037,-0.92359817,-0.500488281,-0.463378906,-1.059570313, 
467891388,-3.346093893,3.916593075,-145.1182098,-0.158246681,-0.466104448,7.565682888,4.013711929,2.910532236,-1.660519481,-0.500488281,-0.470214844,-1.056640625, 
467899721,-3.3054111,3.948715448,-145.1360321,-2.228634596,-0.777854979,12.18093777,4.249824524,3.557394743,-2.390576601,-0.49609375,-0.465332031,-1.0546875, 
467908054,-3.276898146,4.006750584,-145.1546326,0.106782362,-1.568025231,7.270282745,2.808844566,6.647343159,-2.266347647,-0.495605469,-0.469238281,-1.058105469, 
467916387,-3.295958519,4.009962082,-145.1595001,-1.224221706,-0.754896283,11.42478943,-3.025578976,0.003880556,-1.044727683,-0.495117188,-0.470703125,-1.057617188, 
467924720,-3.30546236,4.07879591,-145.1875763,-0.089027025,-0.630608797,4.882622719,-1.669433475,8.007330894,-3.307668924,-0.49609375,-0.46875,-1.056640625, 
467933053,-3.307904005,4.078068733,-145.1991882,-2.294924498,-0.74420917,13.42141628,-0.972649276,-0.422942221,-1.878317356,-0.494628906,-0.464355469,-1.059570313, 
467941386,-3.352200031,4.211929321,-145.2249298,-0.763979554,-0.840392828,11.15054226,-5.858796597,15.78261185,-2.589318037,-0.497070313,-0.466796875,-1.056152344, 
467949719,-3.40290761,4.155815125,-145.2402649,0.679063737,-1.030958772,6.179970264,-6.729807854,-7.028521538,-2.715416908,-0.495605469,-0.465820313,-1.059082031, 
467958052,-3.44725132,4.25820303,-145.2672424,-2.044655323,-0.132332459,12.42796612,-5.849447727,12.02566814,-2.930192471,-0.492675781,-0.469726563,-1.059570313, 
467966385,-3.521336794,4.260208607,-145.2817535,-0.823786855,-1.037104249,6.58784914,-9.541021347,-0.069875635,-2.205821037,-0.493164063,-0.467285156,-1.062011719, 
467974718,-3.577545404,4.368673801,-145.3039398,-1.045755982,-0.194399804,10.33791542,-7.310996056,12.72227478,-2.280973911,-0.494628906,-0.462890625,-1.059570313, 
467983051,-3.654967546,4.384133339,-145.3204651,0.07213448,-0.657663763,7.632717609,-9.919676781,1.561072469,-2.345649242,-0.496582031,-0.4609375,-1.055664063, 
