SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
677849656,-1.970978498,7.453621387,-136.7744904,-1.727430582,-0.037595816,6.883548737,7.554113388,0.968512833,-0.29177177,-0.481933594,-0.52734375,-0.805664063, 
677857989,-1.91072917,7.455901146,-136.7708588,0.198421791,-0.512119293,11.51306248,8.587389946,-0.931564152,0.14849855,-0.479980469,-0.529296875,-0.807128906, 
677866322,-1.856178164,7.474794388,-136.769104,-1.638532996,-0.058031555,8.510717392,8.00259304,1.050606489,0.006006539,-0.469726563,-0.533691406,-0.804199219, 
677874655,-1.816760778,7.46736145,-136.7792053,-0.919298172,0.100044832,7.769506931,6.302369118,-2.043068171,-1.524251938,-0.477050781,-0.530761719,-0.810546875, 
677882988,-1.809625506,7.492826939,-136.7787933,-1.620643735,-1.166140318,10.41631794,2.334135532,1.845902562,-0.130171552,-0.477539063,-0.53125,-0.810546875, 
677891321,-1.746204853,7.491193771,-136.7785492,-1.875364542,-0.200576067,8.86932373,9.020091057,-1.387958646,-0.270486325,-0.478027344,-0.530761719,-0.801757813, 
677899654,-1.702219248,7.495196819,-136.7826843,-0.418311417,0.5390324,8.019412994,6.882276535,-0.698679507,-1.166446686,-0.477050781,-0.533203125,-0.804199219, 
677907987,-1.689112782,7.524390221,-136.7751617,-1.745799541,-1.488198519,8.310976982,2.867116451,2.283982754,0.704839647,-0.478027344,-0.538085938,-0.805664063, 
677916320,-1.664552331,7.477769852,-136.7735748,-0.512372732,-0.279060662,11.7746706,4.408377171,-6.802296162,-0.275506765,-0.474609375,-0.533691406,-0.801269531, 
677924653,-1.633804917,7.513133049,-136.7691956,-2.054083109,-0.381863177,8.769804001,5.034696102,3.034992456,0.349928886,-0.474609375,-0.530273438,-0.811523438, 
677932986,-1.617627978,7.519533634,-136.7692871,-1.366442561,0.887523413,6.102187634,3.42840147,-0.43779853,-0.275993407,-0.474609375,-0.534179688,-0.809082031, 
677941319,-1.631641984,7.512305737,-136.7585602,0.549808919,-0.896081328,12.24967957,-0.436082333,-2.093912363,0.956268966,-0.473632813,-0.531738281,-0.803710938, 
677949652,-1.604779959,7.486205101,-136.7591248,-2.49103117,-1.009364963,10.76024914,4.764234066,-4.326243877,-0.815685272,-0.469726563,-0.536132813,-0.791503906, 
677957985,-1.602440357,7.490350246,-136.7461548,-1.11014092,0.531606019,6.860444546,1.492579818,-0.736844718,1.260745525,-0.473632813,-0.540039063,-0.802246094, 
677966318,-1.630925059,7.513493538,-136.7744598,-1.657806277,-0.659030795,6.353307724,-1.494155049,1.665219784,-3.540553093,-0.4765625,-0.526367188,-0.812011719, 
677974651,-1.613559365,7.485315323,-136.7507324,-0.679686487,-0.444311559,12.39202118,3.125871897,-4.650290489,2.432264328,-0.471679688,-0.530761719,-0.798339844, 
677982984,-1.625931382,7.490605354,-136.769165,-1.291560054,-0.164732754,9.708470345,0.288608432,-0.511849284,-2.46319294,-0.473144531,-0.537597656,-0.803222656, 
677991317,-1.638317943,7.467939377,-136.7645111,-1.187278628,-0.13117072,7.026155949,-0.079480968,-3.940877914,0.220730662,-0.473632813,-0.536621094,-0.804199219, 
677999650,-1.666213989,7.454542637,-136.7688141,-1.62734735,-0.43975243,11.242342,-1.866970301,-2.783678055,-0.851161003,-0.475585938,-0.532226563,-0.80859375, 
678007983,-1.665342689,7.470211983,-136.7593384,-0.895266116,-0.354630828,9.516285896,1.371424675,0.656172633,0.887341082,-0.471679688,-0.528320313,-0.806152344, 
678016316,-1.671100378,7.436037064,-136.78302,-1.694540858,0.455944866,8.492116928,1.162335515,-5.22509861,-3.226215124,-0.46875,-0.537597656,-0.805664063, 
678024649,-1.705987215,7.442854881,-136.7675476,-0.104401901,-1.041532874,10.35005379,-3.013309717,-0.427194238,1.571343899,-0.469726563,-0.538574219,-0.806152344, 
678032982,-1.70220089,7.391426563,-136.7813263,-2.738366365,0.158899009,8.673254967,2.147100687,-7.326953411,-2.086817741,-0.479003906,-0.529296875,-0.802246094, 
678041315,-1.712151527,7.413956165,-136.7754669,-0.589594483,0.407054186,8.479880333,0.200392976,1.4754951,0.4742347,-0.477539063,-0.532226563,-0.802246094, 
678049648,-1.728416681,7.440839767,-136.7832489,-2.902834892,-0.351810336,6.372955799,-0.417512059,2.060959816,-1.121878028,-0.472167969,-0.537109375,-0.806640625, 
678057981,-1.734792352,7.405052185,-136.7745209,0.843455672,-0.355151653,12.12830734,0.513296485,-5.515564919,0.613909185,-0.47265625,-0.53125,-0.801269531, 
678066314,-1.736560822,7.406712055,-136.7765045,-2.872762918,-0.702514172,11.13756275,1.302547812,-1.003104687,-0.530035317,-0.473632813,-0.528320313,-0.8125, 
678074647,-1.732378721,7.408063412,-136.7707214,-0.415662318,0.847527623,5.98336792,1.826589346,-1.050234914,0.398928881,-0.479492188,-0.534179688,-0.801757813, 
678082980,-1.756571293,7.395395279,-136.7748566,-1.679593444,-0.565393209,9.789896965,-1.36119163,-2.714186907,-0.796986938,-0.481933594,-0.534667969,-0.803222656, 
678091313,-1.739035249,7.408511639,-136.7660522,-1.013385892,-0.363002598,12.02453995,3.448278189,0.333612651,0.815237164,-0.474121094,-0.529296875,-0.812988281, 
678099646,-1.727028131,7.401357174,-136.7669678,-1.788268685,0.690470278,9.270251274,2.868064642,-2.046679974,-0.42768091,-0.47265625,-0.530761719,-0.809082031, 
678107979,-1.748263121,7.40171814,-136.7696838,-0.049992774,-0.797809482,9.14073658,-1.092421412,-1.136887789,-0.614306152,-0.479003906,-0.532714844,-0.797363281, 
678116312,-1.716113806,7.370874882,-136.7596436,-2.608807802,0.016001128,9.686432838,5.179979324,-4.944776058,0.800432026,-0.478027344,-0.528808594,-0.806152344, 
678124645,-1.723086476,7.405612946,-136.7679443,-0.556010723,0.065696262,8.649718285,0.706094801,3.005203009,-1.15768671,-0.481445313,-0.530273438,-0.8046875, 
