SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
467883055,-2.614967823,5.89106369,-139.2158051,-0.293643713,-0.621763945,8.351401329,5.249228477,-3.151460409,-1.338920236, 
467891388,-2.555629015,5.955841064,-139.2247925,-2.665093899,-1.023307443,12.79729843,5.719991684,7.747767925,-1.157622576, 
467899721,-2.535071611,5.958404541,-139.2387695,0.477600545,-1.072987199,2.680566311,1.121160626,0.325044602,-2.111394167, 
467908054,-2.524042845,6.018407822,-139.263031,-3.181424856,-0.093886077,13.06038761,0.119772181,7.256948948,-3.052922726, 
467916387,-2.515487671,6.070718765,-139.2744293,0.900082469,-1.158501625,10.52118587,-0.34831515,6.275589466,-1.537942529, 
467924720,-2.509546041,6.098712921,-139.2870331,-2.294758797,-0.399760574,8.688241005,-0.636065483,3.354619265,-1.815524101, 
467933053,-2.562882185,6.155217171,-139.3113098,-0.624150574,-1.087098122,5.995479584,-7.609568596,6.848120689,-3.052000999, 
467941386,-2.608232737,6.137113571,-139.3251495,-1.272027969,-0.394217849,9.356677055,-6.776028633,-2.16551733,-2.167566299, 
467949719,-2.657654762,6.262454033,-139.3505249,-1.834908485,-0.491092891,9.93328476,-7.122026443,15.10761166,-2.79255414, 
467958052,-2.71221137,6.241933346,-139.365387,-0.49691391,0.008887499,9.115686417,-7.860789776,-2.443533897,-2.342844248, 
467966385,-2.768721104,6.344991207,-139.3863525,-2.071033716,-1.312715888,10.68510628,-8.02544117,12.4176569,-2.364975929, 
467974718,-2.846694946,6.349364281,-139.3975983,-0.515053689,0.004863209,3.921832561,-10.72331047,0.519046903,-1.713246703, 
467983051,-2.927524328,6.451210022,-139.427597,-1.978222489,-0.164879978,12.35682678,-10.81800652,12.33033371,-3.414774895, 
467991384,-2.969381332,6.476862431,-139.43927,0.150177419,-0.179893866,9.115872383,-6.375293732,3.07729435,-1.671059966, 
467999717,-3.024180412,6.579248428,-139.4585571,-2.046888351,-0.220965505,9.58288765,-7.832770348,12.33320332,-2.113699913, 
468008050,-3.086507559,6.568677425,-139.4852905,0.36086148,0.132038236,2.772244692,-8.622764587,-1.165178895,-3.699041843, 
468016383,-3.127512932,6.673066616,-139.5154419,-2.418821335,0.170158014,13.16964149,-6.02335453,12.64718342,-3.368182421, 
468024716,-3.123763561,6.681097507,-139.5331573,-0.016945438,0.597052217,10.66723728,-0.811804712,1.010840297,-2.512359381, 
468033049,-3.116178274,6.747550488,-139.5498352,-1.073513985,-0.271092266,8.276919365,-0.376311511,8.015384674,-2.011037588, 
468041382,-3.100649357,6.700176716,-139.569046,-0.325378835,0.401332468,6.245235443,0.621734262,-5.620800018,-3.042138338, 
468049715,-3.044073343,6.756177902,-139.5745697,-1.740153909,0.392350256,13.81504059,5.346869469,6.689619064,-0.752379775, 
468058048,-2.963341713,6.720055103,-139.5737152,-0.12744011,0.091126367,8.244392395,8.166613579,-4.40018034,-0.596337974, 
468066381,-2.891380787,6.710247517,-139.5648346,-1.090358257,-0.55352062,7.50395298,6.990253448,-1.286872149,0.538769841, 
468074714,-2.828787804,6.630084991,-139.5662231,-0.642885566,0.254233479,7.738687515,6.017578125,-9.665493011,-1.089181304, 
