time,distance(meters),speed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),height_above_takeoff(meters),North,East,Down
1.4000000000000057,2.29439,2.98004,244.1,-9.9,-1.4,7.9,-0.8238791352935511,-1.4476697876352826,0.8000002164314368
1.5,2.51893,3.36873,244.4,-10.7,-0.4,8.1,-0.9502473989311256,-1.6335949843336168,0.6000002795379867
1.5999999999999943,2.72903,3.79705,244.6,-11.4,0.2,8.4,-1.0646776694936242,-1.810341602086023,0.30000034504942064
1.700000000000017,2.94071,4.12566,245.0,-12.0,0.3,8.6,-1.173656972353482,-1.9929137436466826,0.10000041833978601
1.8000000000000114,3.14923,4.33265,245.7,-12.5,-0.3,9.0,-1.309455715615712,-2.1520909875702827,-0.29999950265414344
1.9000000000000057,3.36032,4.2091,246.6,-12.5,-1.4,9.4,-1.4201758514016398,-2.3326790757043177,-0.6999994153396172
2.0,3.559,3.7076,247.7,-13.9,-2.6,9.8,-1.523926755086449,-2.5028971961263395,-1.0999993262305423
2.0999999999999943,3.76205,3.09618,248.7,-18.3,-2.9,10.2,-1.627856641088788,-2.6782895984948465,-1.4999992303759844
2.200000000000017,3.94778,2.51868,248.9,-18.7,-3.0,10.5,-1.7248308181221763,-2.8372883672193634,-1.7999991353447662
2.3000000000000114,4.13448,2.06607,248.9,-17.4,-2.9,10.7,-1.8601665247197177,-2.970212986231738,-1.9999990379508459
2.4000000000000057,4.31338,1.77689,248.9,-19.7,-3.1,10.8,-1.950077318945765,-3.125948576413802,-2.0999989353743964
2.5,4.50208,1.87785,249.2,-22.4,-3.4,10.8,-2.0279808970605666,-3.3020434374206107,-2.0999988220720374
2.5999999999999943,4.68096,2.17318,249.2,-21.7,-3.5,10.8,-2.1004029952441488,-3.4696286250686423,-2.0999987093630743
2.700000000000017,4.88273,2.38259,249.2,-20.2,-3.4,10.7,-2.1521277009766253,-3.678393474886764,-1.9999985765467305
2.8000000000000114,5.07378,2.63884,249.2,-20.2,-3.1,10.5,-2.2325987491103536,-3.854368900511833,-1.7999984446521644
2.9000000000000057,5.28459,2.7429,249.2,-21.2,-3.2,10.3,-2.327704651270606,-4.044214171860121,-1.59999829235499
3.0,5.50313,2.70836,249.1,-18.7,-2.6,10.1,-2.425182858608197,-4.241621422711436,-1.3999981285613528
