time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
29.098836,8.029464484,9.303688884,-65.01571465,-1.461609811,-2.260644287,10.77140439,126.7649117,-25.04245567,13.27449966
29.107169,9.077583671,9.01253438,-64.94894028,0.284911864,-1.720090359,11.58376575,123.5855694,-33.75902891,12.81862068
29.115502,10.08148575,8.752239944,-64.8814392,-1.839006078,-1.46127978,9.778410613,118.4398594,-29.95340634,12.48628044
29.123835,11.06369376,8.459806564,-64.82534983,-0.008562602,-2.736876846,10.00639483,115.9366531,-33.68596506,12.76631951
29.132168,12.05036998,8.150797963,-64.7757931,-0.750083617,-1.025619664,11.1172626,116.7371083,-35.64934874,12.65163541
29.140501,12.99008656,7.893905163,-64.74642945,-1.448489353,-1.485159517,12.23818159,111.3700371,-29.77273226,9.722857714
29.148834,13.88557839,7.54346478,-64.7146187,-0.329145517,-2.37486288,9.172003032,106.1056118,-40.52432156,13.02666855
29.157167,14.76452303,7.293727756,-64.70707895,-1.911554199,-2.133995622,11.72716188,104.4957428,-29.25881767,7.767869114
29.1655,15.62086344,6.917245984,-64.71396825,0.470082365,-1.875440225,11.8172715,101.9969044,-44.32366228,10.72192573
29.173833,16.45113087,6.677014232,-64.71565628,-2.484097183,-1.552152246,9.500778974,98.80643462,-28.18404078,7.28782034
29.182166,17.21680903,6.348188341,-64.73853875,0.620411962,-2.109929085,13.4050138,91.42568779,-39.03906774,8.387417674
29.190499,17.94065571,6.077029467,-64.75643155,-2.467826426,-2.577135503,6.168252073,86.23242188,-32.08318711,7.357580781
29.198832,18.63175392,5.795979202,-64.78218843,-0.163761281,-3.066808909,13.39257979,82.58893395,-33.4450469,7.105309725
29.207165,19.29953671,5.497340918,-64.81793785,-1.591766849,-2.129342377,8.136772155,79.69215012,-35.68333244,7.296612263
29.215498,19.91131973,5.246161342,-64.83571623,-0.826875329,-1.319863051,13.39713812,72.99569702,-29.54691625,7.515480398
29.223831,20.47556639,4.978213668,-64.86572458,-1.34905331,-2.277168669,11.82812357,67.24081326,-31.8077054,7.419476628
29.232164,20.97893858,4.713448823,-64.88645935,-0.32233879,-1.731619477,9.329921303,59.89898682,-31.05876732,8.407420039
29.240497,21.44970513,4.518557012,-64.90214345,-2.847638443,-2.265234366,15.12252259,55.92511559,-22.90483141,6.250991106
29.24883,21.87957239,4.235459119,-64.92435455,1.559069276,-2.626825303,7.478102683,51.03819942,-33.02493477,9.614341974
29.257163,22.28964043,4.031646997,-64.96131135,-3.656691372,-1.53302227,11.13753164,48.76624298,-24.7757833,4.603449911
29.265496,22.66159487,3.808776289,-64.96454623,1.080458194,-1.701110572,11.84434938,43.97414017,-25.33139801,9.388139486
29.273829,22.98696947,3.588466943,-65.0205822,-2.229718372,-2.011433482,7.343974591,38.67487335,-27.40054035,3.68468611
